County,Percent_Households_Below_Poverty_Level,Median_Age,Homeowner_Vacancy_Rate,Percent_Pop_25_And_Over_With_College_Or_Higher_Educ
"Lewis, Kentucky",27.1,42.8,1,9.1
"Lincoln, Kentucky",20.1,41.3,1.6,13
"Livingston, Kentucky",14.9,46,1.7,11.8
"Logan, Kentucky",18.4,40.7,2.8,16.4
"Lyon, Kentucky",12.8,50.6,5.1,16.9
"McCracken, Kentucky",15.9,42.2,2.2,24.2
"McCreary, Kentucky",34.1,39.4,1.2,7.2
"McLean, Kentucky",16.3,42.4,0.5,13.5
"Madison, Kentucky",19.3,34.1,1.3,30.8
"Magoffin, Kentucky",30.1,42.3,0.3,9.5
"Marion, Kentucky",21,39.3,1.4,12.6
"Marshall, Kentucky",11.6,44.9,0.4,19.2
"Martin, Kentucky",22.6,39.5,1.9,11.7
"Mason, Kentucky",18.1,40.6,3.4,19.5
"Meade, Kentucky",11.8,38.6,3.5,19.4
"Menifee, Kentucky",23.7,44.6,6,11.2
"Mercer, Kentucky",15.7,43.2,1.9,18.5
"Metcalfe, Kentucky",22.5,43.9,0.2,13
"Monroe, Kentucky",24.6,41.4,0.4,14.4
"Montgomery, Kentucky",18.3,39.7,3.9,15.7
"Morgan, Kentucky",24.9,42,1.6,12.5
"Muhlenberg, Kentucky",16.8,42.4,2.8,12.6
"Nelson, Kentucky",9,39.8,0.7,18
"Nicholas, Kentucky",24.3,41.1,1.1,8.9
"Ohio, Kentucky",17.1,40.3,0.2,13.6
"Oldham, Kentucky",5.9,38.9,0.5,42.4
"Owen, Kentucky",18.5,42.8,3.7,10.9
"Owsley, Kentucky",36.1,43.4,1.2,16.2
"Pendleton, Kentucky",18.6,40.6,0.6,13.2
"Perry, Kentucky",28.2,41.2,2.6,14.4
"Pike, Kentucky",25.7,42.5,2.1,13
"Powell, Kentucky",23.6,38.6,4.2,15.9
"Pulaski, Kentucky",23.5,42,1.2,16.5
"Robertson, Kentucky",22.3,42.9,1.6,16.3
"Rockcastle, Kentucky",22.6,42.7,0.4,11.4
"Rowan, Kentucky",25.9,30.6,1.6,25.1
"Russell, Kentucky",23,43.3,0.8,14.7
"Scott, Kentucky",10.1,36.2,1.3,28.4
"Shelby, Kentucky",9.9,39.4,0.8,24.9
"Simpson, Kentucky",14.7,39,3.4,14.2
"Spencer, Kentucky",9.1,42.1,0.2,20.3
"Taylor, Kentucky",18.9,37.6,0.5,19.6
"Todd, Kentucky",20.8,37.8,0.3,13.2
"Trigg, Kentucky",13.4,46.2,4.4,16.6
"Trimble, Kentucky",17.1,43.4,1.6,14.1
"Union, Kentucky",13.2,38.1,2.8,11.1
"Warren, Kentucky",16.1,32.8,1.1,32.2
"Washington, Kentucky",13.9,40.7,1.9,18.8
"Wayne, Kentucky",22.9,42.5,2.2,12.3
"Webster, Kentucky",21,41,1.6,10
"Whitley, Kentucky",24.4,36.6,1.9,20.4
"Wolfe, Kentucky",35,41.8,0.4,8.7
"Woodford, Kentucky",11.7,42.5,2.1,33.8
"Acadia, Louisiana",23,36.7,1.7,13.3
"Allen, Louisiana",16.9,38.2,2.2,11.3
"Ascension, Louisiana",11.2,35.7,1.4,26.4
"Assumption, Louisiana",20.5,40.9,2.3,9.6
"Avoyelles, Louisiana",25.1,38.2,1.8,12.3
"Beauregard, Louisiana",16.6,37.4,2.1,17.8
"Bienville, Louisiana",28.1,41.9,2,12.8
"Bossier, Louisiana",16.4,35.3,1.9,25.2
"Caddo, Louisiana",21.6,37.7,2.1,23.5
"Calcasieu, Louisiana",16,36.1,1.6,22.3
"Caldwell, Louisiana",23.8,39.8,2.2,13.8
"Cameron, Louisiana",10.9,44.1,0.7,12.7
"Catahoula, Louisiana",22.9,38.1,0.6,13.8
"Claiborne, Louisiana",35.2,42,1.4,12.8
"Concordia, Louisiana",24.5,37.7,1.3,14.1
"De Soto, Louisiana",21.1,39.3,0.9,14.8
"East Baton Rouge, Louisiana",16.8,34,2.1,34.9
"East Carroll, Louisiana",42.4,33.9,1,8.9
"East Feliciana, Louisiana",16.6,42.9,1.2,12.7
"Evangeline, Louisiana",27.9,35.7,2,11.6
"Franklin, Louisiana",26.8,38.4,1.1,12
"Grant, Louisiana",20.6,38.1,1.2,8.5
"Iberia, Louisiana",20.5,36.5,1.3,13.6
"Iberville, Louisiana",18.8,38.4,1.9,13.9
"Jackson, Louisiana",21.9,40.9,3.1,14
"Jefferson, Louisiana",14.4,39.4,1.6,26.8
"Jefferson Davis, Louisiana",20.6,37.8,0.8,16.9
"Lafayette, Louisiana",16.9,35.2,2,33
"Lafourche, Louisiana",15.7,37.8,1.2,16.9
"LaSalle, Louisiana",20.5,38.8,2.6,13.6
"Lincoln, Louisiana",28.8,28.3,1.6,35.6
"Livingston, Louisiana",12.2,36.6,1.8,19.7
"Madison, Louisiana",34.2,35.2,1.8,12.8
"Morehouse, Louisiana",30.3,39.9,1.5,13
"Natchitoches, Louisiana",32.1,33.7,3.6,19
"Orleans, Louisiana",23.8,36.8,2.1,37.6
"Ouachita, Louisiana",23.9,35.7,1.5,24.2
"Plaquemines, Louisiana",18.7,36.5,1.2,19.1
"Pointe Coupee, Louisiana",24.3,43.1,0.3,14.9
"Rapides, Louisiana",18.8,37.4,1.6,20.9
"Red River, Louisiana",24.9,39.4,0.6,13.9
"Richland, Louisiana",28.5,38.8,1.8,13.2
"Sabine, Louisiana",20.4,41.1,2.5,13.3
"St. Bernard, Louisiana",21.8,34.2,2.1,11.6
"St. Charles, Louisiana",11.9,37.9,0.7,25.3
"St. Helena, Louisiana",19.2,39.4,0.7,16.7
"St. James, Louisiana",18.1,39.2,1.5,16.3
"St. John the Baptist, Louisiana",18.3,36.8,1.5,15.9
"St. Landry, Louisiana",27.6,36.7,1.5,14.8
"St. Martin, Louisiana",16.9,37.7,1.1,14.5
"St. Mary, Louisiana",19.7,39,2.4,10.2
"St. Tammany, Louisiana",11.4,40.2,2.4,33.8
"Tangipahoa, Louisiana",19.7,35.3,1.1,20
"Tensas, Louisiana",30.3,43.4,8.2,11.4
"Terrebonne, Louisiana",20,35.8,2.5,15.6
"Union, Louisiana",18.5,42.1,2.1,17.2
"Vermilion, Louisiana",16.9,38,1.1,14.2
"Vernon, Louisiana",16.8,30.4,1.9,17.5
"Washington, Louisiana",23.8,39.4,1.1,11.6
"Webster, Louisiana",28.9,41.4,2.8,15.4
"West Baton Rouge, Louisiana",11.6,36.3,0.7,22
"West Carroll, Louisiana",22.4,40.3,2,11.7
"West Feliciana, Louisiana",13.4,41.4,1.1,24.2
"Winn, Louisiana",19.1,41.1,1.6,13.9
"Androscoggin, Maine",12.2,41,1.6,22.8
"Aroostook, Maine",17.5,48,2.9,19.2
"Cumberland, Maine",9.8,42.2,1.3,47.6
"Franklin, Maine",12.3,46.3,3.1,24.8
"Hancock, Maine",11.7,48.8,2.2,34.1
"Kennebec, Maine",12.9,44.4,1.5,28.1
"Knox, Maine",9.1,48.4,2,33.5
"Lincoln, Maine",12.7,51,2,33.5
"Oxford, Maine",13.5,47,2.4,19.2
"Penobscot, Maine",14.7,42,1.5,27.7
"Piscataquis, Maine",19.1,51.5,4.1,18.4
"Sagadahoc, Maine",10,46.9,0.3,36.4
"Somerset, Maine",19.8,46.4,2.2,16.5
"Waldo, Maine",14.3,46.2,2.1,31.4
"Washington, Maine",19.6,48.1,3,22
"York, Maine",7.9,45.2,1.7,32.5
"Allegany, Maryland",16.6,41.7,2.5,18.9
"Anne Arundel, Maryland",5.5,38.3,1.5,41.7
"Baltimore, Maryland",8.7,39.4,1.6,39.4
"Calvert, Maryland",4.6,40.7,1.4,32.4
"Caroline, Maryland",12.1,39.7,1.6,18.4
"Carroll, Maryland",5.5,42.4,0.7,36.4
"Cecil, Maryland",8.4,40.8,2.7,23.9
"Charles, Maryland",6.1,38.4,1.5,28.9
"Dorchester, Maryland",15,44.6,1.7,21.2
"Frederick, Maryland",6.7,39.1,1.1,41.4
"Garrett, Maryland",11.6,46.2,3.2,20.9
"Harford, Maryland",7.6,40.9,1.4,36.7
"Howard, Maryland",5,38.8,0.9,62.6
"Kent, Maryland",10.4,48.1,2.5,35.1
"Montgomery, Maryland",6.7,39.2,1.1,58.9
"Prince George's, Maryland",7.7,37.1,1.7,33.1
"Queen Anne's, Maryland",6,44.4,2.2,36.5
"St. Mary's, Maryland",7.3,36.7,1.6,31.9
"Somerset, Maryland",22.8,36.2,3.5,14.4
"Talbot, Maryland",9.2,50.5,1.8,40.6
"Washington, Maryland",12.3,40.5,1.9,21.9
"Wicomico, Maryland",13.2,36.1,1.2,27.2
"Worcester, Maryland",8.9,50.4,3.4,29
"Baltimore, Maryland",20,35.4,4,31.9
"Barnstable, Massachusetts",6.8,53.3,1.8,43.4
"Berkshire, Massachusetts",11.3,47.1,1.3,33.6
"Bristol, Massachusetts",11.9,41,1,28.7
"Dukes, Massachusetts",6.5,47.1,0.7,44.9
"Essex, Massachusetts",11.1,40.9,0.9,39.9
"Franklin, Massachusetts",10.1,46.7,1,37.3
"Hampden, Massachusetts",16.4,39,1.2,27.1
"Hampshire, Massachusetts",11.6,36.5,1,48.3
"Middlesex, Massachusetts",8,38.5,0.6,56.3
"Nantucket, Massachusetts",5.6,40.3,2,52.8
"Norfolk, Massachusetts",7.4,40.9,0.8,53.6
"Plymouth, Massachusetts",8.3,42.7,0.9,37.6
"Suffolk, Massachusetts",18.2,32.8,1.1,46.1
"Worcester, Massachusetts",10.5,40.2,1.3,36.4
"Alcona, Michigan",16.3,58.2,3.3,16.9
"Alger, Michigan",12.2,49.5,2.4,17.4
"Allegan, Michigan",9.5,39.8,1.3,22.6
"Alpena, Michigan",15.6,48.1,2.8,18
"Antrim, Michigan",11.2,51.3,3.4,28.8
"Arenac, Michigan",15.6,50,2.2,12.6
"Baraga, Michigan",16.1,45.5,1,15.8
"Barry, Michigan",8,42.5,0.5,21.1
"Bay, Michigan",14.8,43.4,1.3,19.3
"Benzie, Michigan",9.3,50.2,2.8,30.3
"Berrien, Michigan",14.7,42.1,1.9,27.8
"Branch, Michigan",13,41.2,1.6,14.4
"Calhoun, Michigan",15,39.8,1.4,21
"Cass, Michigan",11.4,45.2,3.3,19.2
"Charlevoix, Michigan",11,48.6,1.7,31.1
"Cheboygan, Michigan",14.3,51.1,2.8,20.7
"Chippewa, Michigan",17.2,40.5,1.9,21.2
"Clare, Michigan",19.9,47.2,3.7,12.6
"Clinton, Michigan",8.7,40.6,0.7,32.1
"Crawford, Michigan",17.1,50.8,1.6,19.4
"Delta, Michigan",13.2,47.4,1.5,21
"Dickinson, Michigan",12.4,46.7,2,25.7
"Eaton, Michigan",8.9,40.9,1.1,27.8
"Emmet, Michigan",10.2,45.5,1.7,33.4
"Genesee, Michigan",17.6,40.5,1.5,21.2
"Gladwin, Michigan",17.2,50.1,2.5,13.5
"Gogebic, Michigan",17.9,49.3,2.4,19.4
"Grand Traverse, Michigan",9.1,42.8,0.7,36
"Gratiot, Michigan",16.3,39.5,1.9,15.4
"Hillsdale, Michigan",14.4,42.3,1.6,17.3
"Houghton, Michigan",19.3,33,3.7,32.6
"Huron, Michigan",12.6,49.2,2.6,16
"Ingham, Michigan",17.6,32,1.5,38.9
"Ionia, Michigan",11.3,38.7,1.1,16.4
"Iosco, Michigan",14.1,52.9,3.6,15.9
"Iron, Michigan",14,54.3,3,18.5
"Isabella, Michigan",23.9,28.1,2.2,29.1
"Jackson, Michigan",13.3,41.2,1.4,22.2
"Kalamazoo, Michigan",14.1,34.4,0.9,38.8
"Kalkaska, Michigan",15.5,44.4,1.4,11.9
"Kent, Michigan",10.6,35.3,0.6,35.7
"Keweenaw, Michigan",10.6,57.5,2.5,32
"Lake, Michigan",20.3,53.2,4,11.9
"Lapeer, Michigan",10.6,44.1,1.2,18.3
"Leelanau, Michigan",5.9,54.1,1.4,44.7
"Lenawee, Michigan",10.8,41.9,1,21
"Livingston, Michigan",5.3,43.5,0.8,35.4
"Luce, Michigan",16.9,44.7,0.8,18.4
"Mackinac, Michigan",16.9,52.8,2.8,23.3
"Macomb, Michigan",10.3,40.9,1,24.9
"Manistee, Michigan",11.3,49.3,6.1,20.3
"Marquette, Michigan",15.2,39.1,1.6,32.9
"Mason, Michigan",13.9,46.2,1.9,23.1
"Mecosta, Michigan",20.1,36.9,1.1,22.7
"Menominee, Michigan",13.3,48.8,0.9,16.3
"Midland, Michigan",10.9,41.8,1.3,35.2
"Missaukee, Michigan",12.8,43.5,1.6,14
"Monroe, Michigan",11,42.6,1.7,20.5
"Montcalm, Michigan",13.7,40.7,2.1,13.3
"Montmorency, Michigan",14.4,56.1,4.6,13.7
"Muskegon, Michigan",14.4,39.3,1.4,19.7
"Newaygo, Michigan",15,42.4,1.7,16.6
"Oakland, Michigan",8.5,40.9,1.1,47.2
"Oceana, Michigan",12.9,43.2,0.8,19.5
"Ogemaw, Michigan",16.6,50.4,3,12.2
"Ontonagon, Michigan",12.9,58.6,2,16.5
"Osceola, Michigan",16.8,43.8,1.1,14.2
"Oscoda, Michigan",16,51.8,4.7,10.6
"Otsego, Michigan",12.8,44.9,2.2,23.6
"Ottawa, Michigan",8.2,35.2,0.7,34.1
"Presque Isle, Michigan",13,55,2.7,17.9
"Roscommon, Michigan",15.2,56.2,3.8,15.5
"Saginaw, Michigan",17.3,40.9,1.5,20.8
"St. Clair, Michigan",12.3,43.8,1.7,18.6
"St. Joseph, Michigan",13.2,39.6,2.2,16.2
"Sanilac, Michigan",14.5,45.2,1.9,14.2
"Schoolcraft, Michigan",15.8,52.1,2.1,15.6
"Shiawassee, Michigan",10.6,42.4,2,17
"Tuscola, Michigan",13.1,44.6,2,13.5
"Van Buren, Michigan",13,41.6,1.2,21.7
"Washtenaw, Michigan",13,33.6,1.2,55.9
"Wayne, Michigan",20.5,37.9,2.4,23.9
"Wexford, Michigan",14.8,41.6,1.7,18.2
"Aitkin, Minnesota",12.8,55.5,1.8,18.1
"Anoka, Minnesota",5.7,38.5,0.7,30.5
"Becker, Minnesota",10.9,41.9,0.6,25
"Beltrami, Minnesota",17.7,34,1,29.2
"Benton, Minnesota",11.5,36,0.4,23.6
"Big Stone, Minnesota",12.1,49,1.5,15.4
"Blue Earth, Minnesota",16.2,31,1.4,34.8
"Brown, Minnesota",8.1,42.3,1.2,22.2
"Carlton, Minnesota",8.9,41,1.8,22.1
"Carver, Minnesota",4.7,37.9,1.1,48.9
"Cass, Minnesota",12.8,48.9,1.6,23.2
"Chippewa, Minnesota",12.2,41.6,0.8,19
"Chisago, Minnesota",5.8,41.3,1.2,21.5
"Clay, Minnesota",12.6,32.6,0.5,34.2
"Clearwater, Minnesota",16,42.3,0.8,17.1
"Cook, Minnesota",12.7,52.6,4,40.4
"Cottonwood, Minnesota",10.7,42.9,1.2,20
"Crow Wing, Minnesota",10.9,44.5,1.8,24.7
"Dakota, Minnesota",6.1,37.9,0.6,42.2
"Dodge, Minnesota",5.9,38.4,0.9,25.7
"Douglas, Minnesota",8.2,44.2,1.3,26
"Faribault, Minnesota",12.2,45.8,1.5,18.6
"Fillmore, Minnesota",9.4,42.3,1,22.2
"Freeborn, Minnesota",11,44,1.1,17.1
"Goodhue, Minnesota",10.1,42.2,1.1,26
"Grant, Minnesota",11,44.9,1.4,18.8
"Hennepin, Minnesota",9.8,36.5,0.9,50.1
"Houston, Minnesota",8.5,45.3,0.4,24.8
"Hubbard, Minnesota",10.4,48.7,1.3,27.4
"Isanti, Minnesota",7.3,40,0.3,18.5
"Itasca, Minnesota",12.8,46.3,1.9,23.1
"Jackson, Minnesota",7.7,44.8,2.9,22.6
"Kanabec, Minnesota",10.3,45,0.6,14.7
"Kandiyohi, Minnesota",10.2,39.3,0.8,23.3
"Kittson, Minnesota",9.6,48.1,1.3,25.9
"Koochiching, Minnesota",14.1,49.5,4.7,15.5
"Lac qui Parle, Minnesota",9.5,50.4,1.5,18.8
"Lake, Minnesota",9,50.8,0.8,28.8
"Lake of the Woods, Minnesota",8.8,50.9,1.8,16.7
"Le Sueur, Minnesota",8.3,41,1.1,23
"Lincoln, Minnesota",13.5,45.4,1.3,19.3
"Lyon, Minnesota",13.7,35.8,1.8,26.1
"McLeod, Minnesota",8.4,40.7,0.9,17.6
"Mahnomen, Minnesota",19.2,35.7,0.9,13.2
"Marshall, Minnesota",8.1,43.7,1.1,19.1
"Martin, Minnesota",13.9,45.3,1.6,20.5
"Meeker, Minnesota",7.3,42.2,0.9,19.5
"Mille Lacs, Minnesota",12.4,40.5,1.2,14.7
"Morrison, Minnesota",10.6,41.7,0.9,17.3
"Mower, Minnesota",12.4,38.8,1.7,22.2
"Murray, Minnesota",8.6,48.1,1.5,20.7
"Nicollet, Minnesota",9.8,36.3,0.3,33.8
"Nobles, Minnesota",12.6,35.7,2.2,15.3
"Norman, Minnesota",10.6,43.8,1.5,19.1
"Olmsted, Minnesota",8.4,37.2,1.2,44.9
"Otter Tail, Minnesota",10.5,46.8,1.6,24.9
"Pennington, Minnesota",10.5,39.6,0.6,19.3
"Pine, Minnesota",11.6,45,1.2,14.9
"Pipestone, Minnesota",11.3,42.1,1.5,21.3
"Polk, Minnesota",11.4,38.7,1.5,25.3
"Pope, Minnesota",9,45.8,1.4,22.9
"Ramsey, Minnesota",12.4,35,0.8,42.3
"Red Lake, Minnesota",11.1,42.7,1.1,16.2
"Redwood, Minnesota",10.7,42.6,2.1,19.1
"Renville, Minnesota",11,43.8,1.1,15.2
"Rice, Minnesota",9.5,36.5,0.3,28.3
"Rock, Minnesota",9.2,40.8,0.4,23.8
"Roseau, Minnesota",7.9,41.6,1.5,20.3
"St. Louis, Minnesota",13.8,41.1,1.5,29.3
"Scott, Minnesota",5.4,36.5,0.8,39.9
"Sherburne, Minnesota",6.2,36,0.8,26.6
"Sibley, Minnesota",7.9,41.7,0.7,16.4
"Stearns, Minnesota",11.4,34.4,1.1,27.5
"Steele, Minnesota",9.9,39,1,26
"Stevens, Minnesota",12.3,33.1,0.6,30.5
"Swift, Minnesota",13.1,43.9,2,19.6
"Todd, Minnesota",11.9,43.9,1.1,15.1
"Traverse, Minnesota",11,47.5,1.5,17.5
"Wabasha, Minnesota",8.1,45.2,1.1,23.7
"Wadena, Minnesota",14.3,41.5,0.8,13.8
"Waseca, Minnesota",9.4,40.5,1,21.4
"Washington, Minnesota",4.7,39.5,0.8,44.3
"Watonwan, Minnesota",12.9,39.9,1.5,15.5
"Wilkin, Minnesota",9,43.3,0.2,23.8
"Winona, Minnesota",13.2,35.2,1,30.1
"Wright, Minnesota",5.9,37,0.5,29.6
"Yellow Medicine, Minnesota",12.8,42.4,0.5,17.2
"Adams, Mississippi",30.3,41.4,5,17.4
"Alcorn, Mississippi",15.8,39.7,1.9,17.1
"Amite, Mississippi",29.5,47.1,1.7,12.6
"Attala, Mississippi",24.5,39.8,2.6,13.9
"Benton, Mississippi",20.2,41.5,2.3,11.5
"Bolivar, Mississippi",32.7,35.6,1.3,23.6
"Calhoun, Mississippi",20.8,41.4,0.7,11.8
"Carroll, Mississippi",19.4,47.6,0.2,12.2
"Chickasaw, Mississippi",22.7,37.8,0.7,12.4
"Choctaw, Mississippi",19.3,44,2.9,19.1
"Claiborne, Mississippi",30.4,33.9,0,24
"Clarke, Mississippi",21.4,42.2,1.2,12.5
"Clay, Mississippi",25.1,39.5,0.4,20.4
"Coahoma, Mississippi",32.5,34.8,1.9,16.5
"Copiah, Mississippi",22,38.5,1.7,14.5
"Covington, Mississippi",24.3,37.3,0.3,14.7
"DeSoto, Mississippi",8.4,36.8,1.7,25
"Forrest, Mississippi",25.9,32.5,1.9,27.8
"Franklin, Mississippi",20,42.5,0.1,12
"George, Mississippi",15.8,36.4,2.4,13.8
"Greene, Mississippi",21.6,40.4,2.6,9.7
"Grenada, Mississippi",21,39.2,0.2,21.3
"Hancock, Mississippi",16.3,44.4,4.2,22
"Harrison, Mississippi",18.5,36.2,3.2,23.1
"Hinds, Mississippi",19,34.8,2.4,29
"Holmes, Mississippi",43.5,34.7,3.6,10.2
"Humphreys, Mississippi",31.6,38.3,0,12.8
"Issaquena, Mississippi",33.5,42.2,0,3.2
"Itawamba, Mississippi",15.2,39.9,1.3,13.2
"Jackson, Mississippi",15.6,38.8,2.4,21.1
"Jasper, Mississippi",24.2,41,1.2,15.1
"Jefferson, Mississippi",33,40.5,1.1,15.9
"Jefferson Davis, Mississippi",29.3,44,2.1,14.1
"Jones, Mississippi",19.8,37.5,1.5,20.8
"Kemper, Mississippi",26.7,41.4,0.8,14.7
"Lafayette, Mississippi",19.8,30.5,0.3,45.6
"Lamar, Mississippi",16.4,35.9,0.8,34.1
"Lauderdale, Mississippi",21.5,37.8,1.8,19.7
"Lawrence, Mississippi",19.6,39.9,1,17.6
"Leake, Mississippi",24.3,36.9,0.9,14.3
"Lee, Mississippi",15.8,37.5,1.5,24.4
"Leflore, Mississippi",35.6,34,3.1,18.5
"Lincoln, Mississippi",22,38.9,0.5,16.2
"Lowndes, Mississippi",19.7,37.1,5.6,23.4
"Madison, Mississippi",9.7,37.2,1.9,48.4
"Marion, Mississippi",26.1,40.8,2.2,12.3
"Marshall, Mississippi",16.5,40.4,4.2,13.8
"Monroe, Mississippi",19.8,41.1,2.8,16.7
"Montgomery, Mississippi",24.5,41.6,0.3,19.3
"Neshoba, Mississippi",24,37.3,1.1,11.6
"Newton, Mississippi",21.8,37,1.9,16.4
"Noxubee, Mississippi",31.3,37,2.5,15.6
"Oktibbeha, Mississippi",29.7,26.1,3.3,42.6
"Panola, Mississippi",21,38.3,2.2,14.9
"Pearl River, Mississippi",18.1,40.9,3.4,16.7
"Perry, Mississippi",19.9,41.9,0.4,10.7
"Pike, Mississippi",32.1,37.2,3.1,16.6
"Pontotoc, Mississippi",15.1,36.6,1.4,18.1
"Prentiss, Mississippi",24.4,39.2,2.1,12.4
"Quitman, Mississippi",36.4,38.7,3.8,10.3
"Rankin, Mississippi",8.4,37.8,1.7,29
"Scott, Mississippi",23.6,36.4,1,11.4
"Sharkey, Mississippi",27.1,41.2,1.9,19.5
"Simpson, Mississippi",17.8,39.5,2.9,16.2
"Smith, Mississippi",18.1,41.5,0.7,12.2
"Stone, Mississippi",17.8,38.7,1.4,15.8
"Sunflower, Mississippi",29.6,35.6,2.7,15.4
"Tallahatchie, Mississippi",33.5,36.8,1.4,10.3
"Tate, Mississippi",16.4,38.2,2.2,15.8
"Tippah, Mississippi",21.2,38.8,5.1,15.2
"Tishomingo, Mississippi",22,42.5,2.6,11.4
"Tunica, Mississippi",25.6,33.6,3.4,16.9
"Union, Mississippi",14.5,37.9,0.5,13.4
"Walthall, Mississippi",29,39.8,2.1,14.4
"Warren, Mississippi",20.7,39.1,3.1,22.4
"Washington, Mississippi",30.8,37.2,2.3,17.9
"Wayne, Mississippi",21.9,40.2,0.7,15.3
"Webster, Mississippi",19.5,40.5,2.1,18.5
"Wilkinson, Mississippi",29.1,37.8,0,13.7
"Winston, Mississippi",20.4,42.3,1.4,14.7
"Yalobusha, Mississippi",18.2,42.5,1.5,13.8
"Yazoo, Mississippi",28.1,36.1,1.2,13.4
"Adair, Missouri",24.4,27.6,1.2,31
"Andrew, Missouri",10.6,42.4,0.8,24.9
"Atchison, Missouri",12.3,48.5,2.3,23.1
"Audrain, Missouri",13.8,39.7,2.5,14.7
"Barry, Missouri",17.9,43.7,1.8,14.6
"Barton, Missouri",17.5,41.3,0.6,19.9
"Bates, Missouri",12.3,41.6,1.4,16.1
"Benton, Missouri",15.9,53.6,2.7,13
"Bollinger, Missouri",15.1,44,1,8.9
"Boone, Missouri",16.9,31.2,1.4,46.1
"Buchanan, Missouri",15.8,37.8,2.1,21.1
"Butler, Missouri",23.2,41.3,1.3,13.3
"Caldwell, Missouri",12.5,42.3,1.6,18.1
"Callaway, Missouri",11.4,38.6,0.5,23.1
"Camden, Missouri",14.1,51.5,4.9,21.1
"Cape Girardeau, Missouri",15.4,36.5,2.8,31.5
"Carroll, Missouri",13.1,43.4,0.5,16.7
"Carter, Missouri",13.2,41.7,2.4,15.5
"Cass, Missouri",8,39.8,1,26.3
"Cedar, Missouri",16,44.7,1.4,13.6
"Chariton, Missouri",14.7,45.7,1,17.2
"Christian, Missouri",9.4,37.9,1.7,28.6
"Clark, Missouri",12.1,44,1.5,12.8
"Clay, Missouri",7.4,37.1,1.5,33.2
"Clinton, Missouri",8.8,41,1.6,21.6
"Cole, Missouri",10.2,38.6,3.3,33.3
"Cooper, Missouri",11.6,38.7,2.2,22.1
"Crawford, Missouri",18.4,41.9,1,11.5
"Dade, Missouri",18,46.2,1.1,12.7
"Dallas, Missouri",12.7,44,1.1,12.9
"Daviess, Missouri",14.6,41.1,2.4,18.5
"DeKalb, Missouri",12.8,40.4,2.4,13.8
"Dent, Missouri",21.9,44.7,0.6,15.3
"Douglas, Missouri",19.8,47.3,1,10.8
"Dunklin, Missouri",24.6,40,1.1,13.8
"Franklin, Missouri",10.2,40.7,1.4,20.9
"Gasconade, Missouri",9.9,46.2,2,19.2
"Gentry, Missouri",15.7,40.4,0,19.1
"Greene, Missouri",16.9,36,1.3,30.5
"Grundy, Missouri",16.6,40.8,1.1,17.1
"Harrison, Missouri",15,43.3,0.6,16.5
"Henry, Missouri",18,44.1,2.6,15.9
"Hickory, Missouri",18.3,55,3.4,9
"Holt, Missouri",10.3,48.5,2.7,19.7
"Howard, Missouri",13.8,39.1,0,25.2
"Howell, Missouri",21.3,40.9,1.8,18
"Iron, Missouri",22.8,45.7,2.5,10.8
"Jackson, Missouri",13.8,36.8,1.3,31.6
"Jasper, Missouri",15.9,36.2,1.6,23.6
"Jefferson, Missouri",9.9,39.2,1.2,20.4
"Johnson, Missouri",15.4,30.5,2.6,28.9
"Knox, Missouri",17.5,44.1,0.5,17.2
"Laclede, Missouri",16.5,40.3,1.6,14.6
"Lafayette, Missouri",12.3,42.3,1.1,20.3
"Lawrence, Missouri",16.7,39.4,2,16
"Lewis, Missouri",17.9,40.6,1.2,13.6
"Lincoln, Missouri",11.5,37.1,1.5,16.8
"Linn, Missouri",13.3,41.8,0.6,16.9
"Livingston, Missouri",15.6,40,0.2,18.8
"McDonald, Missouri",17.2,37.8,0.9,11.5
"Macon, Missouri",12.2,43.3,1.8,16.3
"Madison, Missouri",17.8,42.2,0.5,15.6
"Maries, Missouri",15.5,46,1.2,15.8
"Marion, Missouri",16.5,38.9,1.9,22.4
"Mercer, Missouri",13.8,42.9,0.5,18.9
"Miller, Missouri",15.5,40.7,1.9,19.4
"Mississippi, Missouri",25.6,41.4,5.4,11.5
"Moniteau, Missouri",12.6,38,0.4,20.5
"Monroe, Missouri",12.8,46.5,1.3,12.4
"Montgomery, Missouri",16.4,44.5,2.9,14
"Morgan, Missouri",21.4,46,2.5,13.3
"New Madrid, Missouri",21.6,42,1.7,12.1
"Newton, Missouri",13,39.9,1.1,20
"Nodaway, Missouri",21.5,29.7,2.4,28.6
"Oregon, Missouri",23.9,46.4,3.7,14.6
"Osage, Missouri",7.1,40.8,1.4,18.9
"Ozark, Missouri",24.1,51.6,2.2,11
"Pemiscot, Missouri",26.8,37.9,2.1,12.7
"Perry, Missouri",7.9,40.7,2.3,17.7
"Pettis, Missouri",13.9,37.8,2.9,18
"Phelps, Missouri",20.7,35.3,2.2,29.1
"Pike, Missouri",14.7,38.9,3,15.6
"Platte, Missouri",5.9,38.2,0.8,43.1
"Polk, Missouri",14,37.6,2.1,19.9
"Pulaski, Missouri",14.5,27.6,6.5,28.3
"Putnam, Missouri",14,45.8,3.7,19.3
"Ralls, Missouri",12.7,45,1.4,14.9
"Randolph, Missouri",16.3,39.4,0.4,15.1
"Ray, Missouri",11.7,42.2,0.6,14.6
"Reynolds, Missouri",20,46.5,3.3,13.7
"Ripley, Missouri",25.2,42.3,3,10.2
